from_unixtime(pay_time)	finish_time	order_id	sub_order_id	company_name	shop_id	shop_name	product_id	product_name	pay_money+plat_promo_amount	discount_detail_coupon	zero_adjust_price
0000-00-00 00:00:00	2023-07-21 11:35:01	92555795313018	92555686173018		23023		20028873361		8700		0
0000-00-00 00:00:00	2023-07-19 18:05:48	92271711123068	92271122603068		28251		20070801184		6900		0
0000-00-00 00:00:00	2023-07-17 18:08:08	92391555843330	92391497853330		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-22 15:05:06	92342957893069	92342788133069		28311		32926607		17700		0
0000-00-00 00:00:00	2023-07-23 09:37:51	92401962843138	92402341413138		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-02 18:09:20	92145056143374	92145506023374		28311		20069746106		5900		0
0000-00-00 00:00:00	2023-07-05 20:33:19	92037289773332	92037968453332		28311		32926607		29500		0
0000-00-00 00:00:00	2023-07-05 09:33:08	92264742463103	92264728613103		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-10 13:46:17	92335761003295	92335841803295		28311		32926607		17700		0
0000-00-00 00:00:00	2023-07-11 19:36:24	92413006123074	92413124513074		28311		32926607		29500		0
0000-00-00 00:00:00	2023-07-14 16:08:27	92294828183463	92294681073463		28311		20030012792		7900		0
0000-00-00 00:00:00	2023-07-25 21:14:03	92486621043327	92486594193327		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-25 21:13:12	92486327803037	92485785023037		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-26 13:27:45	92409900603087	92409129603087		28311		20030012792		7900		0
0000-00-00 00:00:00	2023-07-25 21:14:11	92449737143074	92449565073074		28311		32926607		29500		0
0000-00-00 00:00:00	2023-07-28 13:19:51	92501303933414	92501196893414		28311		20109217141		6900		0
0000-00-00 00:00:00	2023-07-28 10:19:41	92574755753100	92575352373100		28311		20109217141		13800		0
0000-00-00 00:00:00	2023-07-31 20:54:45	91770460713142	91770824863142		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-28 19:23:54	92489787013454	92489912223454		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-30 21:42:10	92511564063147	92511825433147		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-30 21:42:09	92484877853293	92484947153293		28311		32926607		11800		0
0000-00-00 00:00:00	2023-07-30 21:42:04	92499515223307	92499433373307		28311		20109217141		13800		0
0000-00-00 00:00:00	2023-07-25 17:31:45	92552354733507	92552008613507		29414		20080973353		7900		0
0000-00-00 00:00:00	2023-07-12 08:38:43	92213244433143	92213131123143		30291		20111633714		3000		0
0000-00-00 00:00:00	2023-07-13 13:30:45	92482586573248	92482133633248		35840		20116039549		9000		0
0000-00-00 00:00:00	2023-07-12 17:37:13	92456018743256	92456225103256		35840		20116039549		9000		0
0000-00-00 00:00:00	2023-07-09 16:06:26	92316527483203	92316648703203		35840		20090803839		10800		0
0000-00-00 00:00:00	2023-07-10 09:08:01	92379246583417	92379374363417		47622		20098199160		6900		0
0000-00-00 00:00:00	2023-07-02 18:20:25	92203239383511	92203097813511		47622		20098199160		6900		0
0000-00-00 00:00:00	2023-07-17 11:55:05	92307043743196	92307453963196		47622		20051056477		19900		0
0000-00-00 00:00:00	2023-07-04 17:30:44	92172111923160	92172190333160		47622		37827252		2990		0
0000-00-00 00:00:00	2023-07-15 23:21:10	92489012743418	92489169093418		90517		20038918274		2990		0
0000-00-00 00:00:00	2023-07-21 09:29:49	92444301113459	92443870343459		101672		20115229968		6990		0
0000-00-00 00:00:00	2023-07-06 09:57:51	90046348112298	90046210752298		105529		6304223		5300		0
0000-00-00 00:00:00	2023-07-24 10:05:22	92302911653111	92302649293111		127543		20085163317		13800		0
0000-00-00 00:00:00	2023-07-24 15:56:10	92578906383029	92578655783029		139712		20140420126		2690		0
0000-00-00 00:00:00	2023-07-30 14:15:48	92605063743317	92604646513317		139712		20140420126		3190		0
0000-00-00 00:00:00	2023-07-28 16:57:10	92450351763159	92450321933159		158200		20026656264		7900		0
0000-00-00 00:00:00	2023-07-24 19:04:58	92332646683280	92332608393280		158200		20107580642		8900		0
0000-00-00 00:00:00	2023-07-26 15:50:18	92495668063372	92495682363372		158200		19663054		5900		0
0000-00-00 00:00:00	2023-07-04 16:50:41	92269560353340	92269117843340		158200		20120278381		9900		0
0000-00-00 00:00:00	2023-07-02 13:45:12	92106756043306	92106890133306		158200		20114870862		18900		0
0000-00-00 00:00:00	2023-07-11 16:03:59	92268366283183	92268210903183		158200		20123073810		11900		0
0000-00-00 00:00:00	2023-07-23 13:25:53	92428451923176	92428724593176		158200		20132717731		9900		0
0000-00-00 00:00:00	2023-07-21 16:02:45	92446739463046	92446344633046		158200		20134037468		9900		0
0000-00-00 00:00:00	2023-07-21 16:05:07	92467691913504	92467561143504		158200		20133839928		5900		0
0000-00-00 00:00:00	2023-07-18 18:45:00	92405511523340	92405067583340		158200		20131340433		39900		0
0000-00-00 00:00:00	2023-07-18 18:46:22	92405198013340	92405810283340		158200		20131340433		39900		0
0000-00-00 00:00:00	2023-07-01 13:37:55	92195202133062	92195166463062		210382		20094086962		13800		0
0000-00-00 00:00:00	2023-07-01 13:38:02	92237206793176	92237130213176		210382		20038273563		9900		0
0000-00-00 00:00:00	2023-07-01 13:38:27	92322141483201	92323473023201		210382		20085414098		13800		0
0000-00-00 00:00:00	2023-07-01 13:38:30	92219749313134	92219956123134		210382		20085414098		13800		0
0000-00-00 00:00:00	2023-07-05 13:47:30	92215999493448	92215797023448		210382		20094086962		13800		0
0000-00-00 00:00:00	2023-07-04 13:51:21	92370549333030	92370539453030		210382		20094086962		13800		0
0000-00-00 00:00:00	2023-07-21 17:05:24	92282525863358	92282522783358		215116		20043754082		10500		0
0000-00-00 00:00:00	2023-07-21 21:40:30	92559997373509	92557289943509		235402		19652516		3680		0
0000-00-00 00:00:00	2023-07-04 17:12:34	92192348553406	92192333803406		254226		20050016794		4990		0
0000-00-00 00:00:00	2023-07-21 21:38:33	92538688013455	92538609023455		299210		20032467939		3890		0
0000-00-00 00:00:00	2023-07-24 23:58:45	92541228053129	92541115723129		299210		20032467939		4890		0
0000-00-00 00:00:00	2023-07-12 16:10:47	92466069443173	92466271403173		299210		20032467939		3690		0
0000-00-00 00:00:00	2023-07-15 10:58:28	92268410713346	92268518363346		317253		20068932710		19900		0
0000-00-00 00:00:00	2023-07-13 08:13:07	92248853123040	92249065913040		387089		20063139206		7990		0
0000-00-00 00:00:00	2023-07-30 09:11:16	92410472633467	92410342693467		387089		20079456016		20700		0
0000-00-00 00:00:00	2023-07-28 22:15:31	92383497533036	92383660573036		388105		20130231025		13700		0
0000-00-00 00:00:00	2023-07-15 16:26:50	92326535113412	92326846273412		388105		20126099728		14200		0
0000-00-00 00:00:00	2023-07-08 14:59:47	92149935193369	92150200903369		392155		7678533		3990		0
0000-00-00 00:00:00	2023-07-16 13:22:42	92253589933495	92254489733495		404353		20072125246		1035		0
0000-00-00 00:00:00	2023-07-04 09:18:52	92336276963012	92336411013012		404353		35671734		3980		0
0000-00-00 00:00:00	2023-07-25 11:35:46	92603383223215	92603391413215		417389		20137651589		990		0
0000-00-00 00:00:00	2023-07-15 16:08:56	92470566993090	92470065433090		417389		20133764210		4800		0
0000-00-00 00:00:00	2023-07-18 09:15:16	92369381233131	92370581383131		417947		20074092068		9900		0
